,centroid-0,centroid-1,area
212,618.4232373800584,2037.741343345849,4794
213,596.4371859296482,2852.884422110553,597
214,594.968152866242,1587.6815286624203,314
215,653.3031735313978,982.4487958586541,4443
216,599.4069767441861,733.6918604651163,172
217,606.253488372093,1466.0790697674418,430
218,617.4588555858311,773.5934604904633,1835
219,601.6111111111111,2399.5,126
220,617.5181187355436,1293.887432536623,1297
221,607.2650602409639,13.20722891566265,415
222,645.5222591362126,2482.830897009967,3010
223,737.0254632470242,793.0273039636766,16298
224,615.4179894179895,194.6904761904762,378
225,612.3715596330276,2736.894495412844,218
226,613.4094488188977,1555.740157480315,127
227,620.1269841269841,1931.8055555555557,252
228,621.0960698689956,485.5982532751092,458
229,635.9455894476505,1881.2844187963726,1213
230,628.3068592057762,2168.368231046931,1385
231,634.7391304347826,2373.806324110672,1012
232,630.1355932203389,33.97966101694915,295
233,641.79115710254,112.20696142991534,1063
234,635.3277074542897,1043.4416315049227,711
235,688.2373857094481,538.8388079918727,2953
236,687.5891651865008,2813.8758436944936,5630
237,646.6349206349206,810.1079365079365,630
238,639.4605809128631,154.39626556016597,482
239,642.2486288848263,596.091407678245,547
240,633.7310924369748,1257.9243697478992,119
241,633.1941747572815,2651.4757281553398,103
242,641.8822269807281,1749.1156316916488,467
243,665.4799822064057,1421.1401245551601,2248
244,671.8832662449684,358.5531914893617,1739
245,662.6495098039215,2425.765931372549,816
246,661.3853073463268,1541.2908545727137,667
247,656.7831578947369,1939.6168421052632,475
248,650.5,841.5,50
249,662.8002406738868,2643.575210589651,831
250,659.6185567010309,2763.8329896907217,485
251,675.8942917547569,639.8763213530656,946
252,706.0328954068642,1921.3449434769325,9819
253,660.5081081081081,2347.956756756757,555
254,683.972191011236,1594.0691011235956,3560
255,672.0957264957265,2692.568376068376,1170
256,657.0,254.5,60
257,668.9531405782652,911.752741774676,1003
258,672.2533136966126,1214.8438880706922,679
259,693.1186440677966,1745.0404172099088,2301
260,744.4100743745774,1266.341446923597,5916
261,662.796052631579,1163.2302631578948,152
262,665.0429447852761,1251.9447852760736,326
263,662.8051948051948,1697.2727272727273,77
264,719.3482606188737,1147.684797232366,5203
265,729.6209823292055,146.84569361346877,7187
266,674.6826347305389,578.2425149700599,334
267,680.7490039840637,2214.1075697211154,502
268,715.1820741435946,1082.3158141717504,2131
269,690.2286282306163,245.4831013916501,503
270,694.3234421364986,2119.1802670623147,1348
271,689.9893617021277,488.9,940
272,686.5188679245283,2749.044811320755,424
273,680.0,1923.0,41
274,687.5271317829457,2587.937984496124,129
275,699.5749235474007,282.28134556574923,327
276,708.8869005010737,660.2913385826772,1397
277,695.2924528301887,1815.9669811320755,212
278,704.5339105339106,911.9884559884559,693
279,746.1727981152592,2489.8818412468286,11036
280,711.6177105831533,1467.6900647948164,926
281,738.0440672433491,1672.1870409662151,6127
282,703.4606741573034,382.07865168539325,178
283,701.6428571428571,1027.5,70
284,707.9328859060403,323.53691275167785,149
285,726.8768656716418,2686.5348258706467,804
286,708.0,1.8571428571428572,49
287,728.8358556461001,2850.118742724098,859
288,732.6204715353651,2289.735480161012,1739
289,766.4683634633682,2102.601094196004,4204
290,716.4538461538461,1039.753846153846,130
291,738.0692567567568,2728.2111486486488,1184
292,720.7935222672065,1319.0971659919028,247
293,715.0,1218.0,41
294,726.8840236686391,2638.6568047337278,845
295,732.794425087108,864.829268292683,574
296,727.9745222929936,2190.4713375796177,471
297,737.6025316455696,9.129113924050634,395
298,771.1184977336499,1431.0634578027195,4633
299,749.4677623261693,604.960809102402,791
300,762.112016293279,256.2604378818737,3928
301,746.4924012158054,1519.677811550152,329
302,742.2642857142857,903.4214285714286,140
303,747.2510373443984,415.57676348547716,482
304,776.853152434158,956.4453312051078,5012
305,743.204081632653,2040.2551020408164,98
306,756.2529832935561,358.6229116945107,419
307,763.5135135135135,39.36557610241821,703
308,767.5927672955975,1752.25786163522,1272
309,803.1974145486415,2012.621384750219,4564
310,825.322586487955,2817.2110124977357,5521
311,749.5,2184.5,68
312,765.2953523238381,2619.5562218890555,667
313,759.812030075188,683.4586466165414,266
